N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
95,GS건설,"40,550",150,+0.37%,"5,000","34,703","85,581",26.07,"442,508",9.88,7.68,
96,KCC,"383,500","8,500",+2.27%,"5,000","34,080","8,886",11.52,"108,448",4.84,12.79,
97,현대오토에버,"122,000",500,+0.41%,500,"33,457","27,424",1.91,"64,427",44.28,11.09,
98,한국가스공사,"36,200",250,-0.69%,"5,000","33,417","92,313",10.43,"160,535",7.52,-2.24,
99,한미약품,"260,500",500,-0.19%,"2,500","32,088","12,318",13.21,"20,036",41.49,1.65,
100,팬오션,"5,990",680,+12.81%,"1,000","32,021","534,570",11.53,"21,635,383",10.29,3.25,
101,DB하이텍,"70,700",200,-0.28%,"5,000","31,390","44,399",25.28,"587,289",14.77,23.07,
102,호텔신라,"79,800",900,+1.14%,"5,000","31,320","39,248",13.57,"846,514",-30.63,-36.74,
103,한미사이언스,"45,500","1,300",-2.78%,500,"31,224","68,624",2.37,"77,372",57.67,3.47,
104,TIGER 차이나전기차SOLACTIVE,"14,690",535,-3.51%,0,"30,167","205,360",0.26,"8,682,266",N/A,N/A,
105,롯데지주,"28,350",300,+1.07%,200,"29,742","104,909",7.69,"87,239",14.77,-3.03,
106,현대미포조선,"73,500",0,0.00%,"5,000","29,357","39,942",10.44,"168,257",-19.10,-0.84,
107,한전기술,"76,700","2,100",-2.66%,200,"29,315","38,220",1.89,"280,938",288.35,N/A,
108,BGF리테일,"169,500","5,500",+3.35%,"1,000","29,296","17,284",32.04,"62,864",21.21,18.60,
109,CJ대한통운,"127,500","2,500",+2.00%,"5,000","29,086","22,812",21.07,"47,718",98.76,3.89,
110,한화시스템,"15,350",0,0.00%,"5,000","28,999","188,919",2.06,"483,043",18.61,9.35,
111,GS리테일,"26,900",50,+0.19%,"1,000","28,169","104,718",7.88,"472,596",2.72,7.50,
112,한화생명,"3,235",10,+0.31%,"5,000","28,097","868,530",8.03,"4,549,259",3.67,1.90,
113,BNK금융지주,"8,540",70,-0.81%,"5,000","27,835","325,935",40.35,"1,384,309",3.41,6.11,
114,동서,"27,000",250,-0.92%,500,"26,919","99,700",2.77,"65,439",25.35,8.61,
115,제일기획,"23,350",600,+2.64%,200,"26,862","115,041",31.39,"391,851",13.76,16.11,
116,한솔케미칼,"232,500","5,000",+2.20%,"5,000","26,354","11,335",41.87,"64,934",18.14,24.50,
117,에스원,"69,200",0,0.00%,500,"26,295","37,999",53.04,"56,027",17.30,10.48,
118,신세계,"265,000","9,500",+3.72%,"5,000","26,090","9,845",25.06,"239,800",9.96,-2.81,
119,키움증권,"97,200",0,0.00%,"5,000","25,485","26,220",25.43,"44,214",2.80,27.63,
120,포스코인터내셔널,"20,500",200,+0.99%,"5,000","25,292","123,375",6.99,"757,188",8.29,7.69,
121,LG화학우,"324,000","19,000",+6.23%,"5,000","24,912","7,689",71.96,"30,983",8.44,N/A,
122,CJ,"85,000","1,200",+1.43%,"5,000","24,800","29,177",17.22,"74,995",73.66,1.89,
123,한화에어로스페이스,"48,800",350,-0.71%,"5,000","24,707","50,630",17.12,"313,340",8.86,4.78,
124,현대해상,"27,500",450,-1.61%,500,"24,585","89,400",27.54,"494,492",6.42,7.13,
125,롯데쇼핑,"85,900",100,-0.12%,"5,000","24,300","28,289",11.16,"92,157",-9.13,-7.70,
126,하이트진로,"34,350",250,+0.73%,"5,000","24,091","70,134",4.89,"886,286",46.80,8.23,
127,두산퓨얼셀,"36,400","1,300",-3.45%,100,"23,840","65,494",13.78,"309,388",728.00,4.18,
128,대우건설,"5,710",40,-0.70%,"5,000","23,732","415,623",10.98,"1,117,781",4.85,11.06,
129,대우조선해양,"22,050",100,-0.45%,"5,000","23,658","107,291",4.68,"201,521",-1.60,2.27,
130,SK케미칼,"133,000",500,+0.38%,"5,000","23,436","17,621",17.83,"58,796",63.39,30.49,
131,현대차우,"95,600","1,600",+1.70%,"5,000","23,285","24,357",58.49,"41,242",4.84,N/A,
132,DL이앤씨,"117,000",500,+0.43%,"5,000","22,650","19,359",23.12,"228,604",N/A,N/A,
133,KODEX 레버리지,"21,110",330,+1.59%,0,"22,588","107,000",1.02,"19,772,343",N/A,N/A,
134,한화,"30,000",50,-0.17%,"5,000","22,488","74,959",15.74,"167,320",5.07,4.79,
135,만도,"47,600","2,500",-4.99%,"1,000","22,352","46,957",18.94,"1,077,875",10.03,0.37,
